,director_name,genres,movie_title,ratings,actors,combine
24,Chris Weitz,Adventure Family Fantasy,the golden compass,6.1,Christopher Lee Eva Green Kristin Scott Thomas,Chris Weitz Adventure Family Fantasy the golden compass Christopher Lee Eva Green Kristin Scott Thomas
26,James Cameron,Drama Romance,titanic,7.7,Leonardo DiCaprio Kate Winslet Gloria Stuart,James Cameron Drama Romance titanic Leonardo DiCaprio Kate Winslet Gloria Stuart
27,Anthony Russo,Action Adventure Sci-Fi,captain america: civil war,8.2,Robert Downey Jr. Scarlett Johansson Chris Evans,Anthony Russo Action Adventure Sci-Fi captain america: civil war Robert Downey Jr. Scarlett Johansson Chris Evans
28,Peter Berg,Action Adventure Sci-Fi Thriller,battleship,5.9,Liam Neeson Alexander Skarsgård Tadanobu Asano,Peter Berg Action Adventure Sci-Fi Thriller battleship Liam Neeson Alexander Skarsgård Tadanobu Asano
29,Colin Trevorrow,Action Adventure Sci-Fi Thriller,jurassic world,7.0,Bryce Dallas Howard Judy Greer Omar Sy,Colin Trevorrow Action Adventure Sci-Fi Thriller jurassic world Bryce Dallas Howard Judy Greer Omar Sy
31,Sam Raimi,Action Adventure Fantasy Romance,spider-man 2,7.3,J.K. Simmons James Franco Kirsten Dunst,Sam Raimi Action Adventure Fantasy Romance spider-man 2 J.K. Simmons James Franco Kirsten Dunst
32,Shane Black,Action Adventure Sci-Fi,iron man 3,7.2,Robert Downey Jr. Jon Favreau Don Cheadle,Shane Black Action Adventure Sci-Fi iron man 3 Robert Downey Jr. Jon Favreau Don Cheadle
34,Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand,6.8,Hugh Jackman Kelsey Grammer Daniel Cudmore,Brett Ratner Action Adventure Fantasy Sci-Fi Thriller x-men: the last stand Hugh Jackman Kelsey Grammer Daniel Cudmore
35,Dan Scanlon,Adventure Animation Comedy Family Fantasy,monsters university,7.3,Steve Buscemi Tyler Labine Sean Hayes,Dan Scanlon Adventure Animation Comedy Family Fantasy monsters university Steve Buscemi Tyler Labine Sean Hayes
36,Michael Bay,Action Adventure Sci-Fi,transformers: revenge of the fallen,6.0,Glenn Morshower Kevin Dunn Ramon Rodriguez,Michael Bay Action Adventure Sci-Fi transformers: revenge of the fallen Glenn Morshower Kevin Dunn Ramon Rodriguez
37,Michael Bay,Action Adventure Sci-Fi,transformers: age of extinction,5.7,Bingbing Li Sophia Myles Kelsey Grammer,Michael Bay Action Adventure Sci-Fi transformers: age of extinction Bingbing Li Sophia Myles Kelsey Grammer
39,Marc Webb,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2,6.7,Emma Stone Andrew Garfield B.J. Novak,Marc Webb Action Adventure Fantasy Sci-Fi the amazing spider-man 2 Emma Stone Andrew Garfield B.J. Novak
41,John Lasseter,Adventure Animation Comedy Family Sport,cars 2,6.3,Joe Mantegna Thomas Kretschmann Eddie Izzard,John Lasseter Adventure Animation Comedy Family Sport cars 2 Joe Mantegna Thomas Kretschmann Eddie Izzard
42,Martin Campbell,Action Adventure Sci-Fi,green lantern,5.6,Ryan Reynolds Temuera Morrison Taika Waititi,Martin Campbell Action Adventure Sci-Fi green lantern Ryan Reynolds Temuera Morrison Taika Waititi
43,Lee Unkrich,Adventure Animation Comedy Family Fantasy,toy story 3,8.3,Tom Hanks John Ratzenberger Don Rickles,Lee Unkrich Adventure Animation Comedy Family Fantasy toy story 3 Tom Hanks John Ratzenberger Don Rickles
44,McG,Action Adventure Sci-Fi,terminator salvation,6.6,Christian Bale Bryce Dallas Howard Common,McG Action Adventure Sci-Fi terminator salvation Christian Bale Bryce Dallas Howard Common
45,James Wan,Action Crime Thriller,furious 7,7.2,Jason Statham Paul Walker Vin Diesel,James Wan Action Crime Thriller furious 7 Jason Statham Paul Walker Vin Diesel
46,Marc Forster,Action Adventure Horror Sci-Fi Thriller,world war z,7.0,Peter Capaldi Brad Pitt Mireille Enos,Marc Forster Action Adventure Horror Sci-Fi Thriller world war z Peter Capaldi Brad Pitt Mireille Enos
47,Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past,8.0,Jennifer Lawrence Peter Dinklage Hugh Jackman,Bryan Singer Action Adventure Fantasy Sci-Fi Thriller x-men: days of future past Jennifer Lawrence Peter Dinklage Hugh Jackman
48,J.J. Abrams,Action Adventure Sci-Fi,star trek into darkness,7.8,Benedict Cumberbatch Bruce Greenwood Noel Clarke,J.J. Abrams Action Adventure Sci-Fi star trek into darkness Benedict Cumberbatch Bruce Greenwood Noel Clarke
49,Bryan Singer,Adventure Fantasy,jack the giant slayer,6.3,Eddie Marsan Ewen Bremner Ralph Brown,Bryan Singer Adventure Fantasy jack the giant slayer Eddie Marsan Ewen Bremner Ralph Brown
51,Mike Newell,Action Adventure Fantasy Romance,prince of persia: the sands of time,6.6,Jake Gyllenhaal Richard Coyle Reece Ritchie,Mike Newell Action Adventure Fantasy Romance prince of persia: the sands of time Jake Gyllenhaal Richard Coyle Reece Ritchie
52,Guillermo del Toro,Action Adventure Sci-Fi,pacific rim,7.0,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell,Guillermo del Toro Action Adventure Sci-Fi pacific rim Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell
53,Michael Bay,Action Adventure Sci-Fi,transformers: dark of the moon,6.3,Glenn Morshower Lester Speight Kevin Dunn,Michael Bay Action Adventure Sci-Fi transformers: dark of the moon Glenn Morshower Lester Speight Kevin Dunn
54,Steven Spielberg,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull,6.2,Harrison Ford Ray Winstone Jim Broadbent,Steven Spielberg Action Adventure Fantasy indiana jones and the kingdom of the crystal skull Harrison Ford Ray Winstone Jim Broadbent
55,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur,6.8,A.J. Buckley Jack McGraw Peter Sohn,Peter Sohn Adventure Animation Comedy Family Fantasy the good dinosaur A.J. Buckley Jack McGraw Peter Sohn
56,Mark Andrews,Adventure Animation Comedy Family Fantasy,brave,7.2,Kelly Macdonald John Ratzenberger Julie Walters,Mark Andrews Adventure Animation Comedy Family Fantasy brave Kelly Macdonald John Ratzenberger Julie Walters
57,Justin Lin,Action Adventure Sci-Fi Thriller,star trek beyond,7.5,Sofia Boutella Melissa Roxburgh Lydia Wilson,Justin Lin Action Adventure Sci-Fi Thriller star trek beyond Sofia Boutella Melissa Roxburgh Lydia Wilson
58,Andrew Stanton,Adventure Animation Family Sci-Fi,wall·e,8.4,John Ratzenberger Fred Willard Jeff Garlin,Andrew Stanton Adventure Animation Family Sci-Fi wall·e John Ratzenberger Fred Willard Jeff Garlin
59,Brett Ratner,Action Comedy Crime Thriller,rush hour 3,6.2,Tzi Ma Dana Ivey Noémie Lenoir,Brett Ratner Action Comedy Crime Thriller rush hour 3 Tzi Ma Dana Ivey Noémie Lenoir
60,Roland Emmerich,Action Adventure Sci-Fi,2012,5.8,Oliver Platt Liam James Tom McCarthy,Roland Emmerich Action Adventure Sci-Fi 2012 Oliver Platt Liam James Tom McCarthy
61,Robert Zemeckis,Animation Drama Family Fantasy,a christmas carol,6.8,Robin Wright Colin Firth Gary Oldman,Robert Zemeckis Animation Drama Family Fantasy a christmas carol Robin Wright Colin Firth Gary Oldman
62,Lana Wachowski,Action Adventure Sci-Fi,jupiter ascending,5.4,Channing Tatum Mila Kunis Eddie Redmayne,Lana Wachowski Action Adventure Sci-Fi jupiter ascending Channing Tatum Mila Kunis Eddie Redmayne
64,Andrew Adamson,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",6.9,Jim Broadbent Kiran Shah Shane Rangi,"Andrew Adamson Adventure Family Fantasy the chronicles of narnia: the lion, the witch and the wardrobe Jim Broadbent Kiran Shah Shane Rangi"
65,Bryan Singer,Action Adventure Sci-Fi,x-men: apocalypse,7.3,Jennifer Lawrence Michael Fassbender Tye Sheridan,Bryan Singer Action Adventure Sci-Fi x-men: apocalypse Jennifer Lawrence Michael Fassbender Tye Sheridan
66,Christopher Nolan,Action Crime Drama Thriller,the dark knight,9.0,Christian Bale Heath Ledger Morgan Freeman,Christopher Nolan Action Crime Drama Thriller the dark knight Christian Bale Heath Ledger Morgan Freeman
67,Pete Docter,Adventure Animation Comedy Family,up,8.3,John Ratzenberger Delroy Lindo Jess Harnell,Pete Docter Adventure Animation Comedy Family up John Ratzenberger Delroy Lindo Jess Harnell
68,Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens,6.5,Amy Poehler Rainn Wilson Stephen Colbert,Rob Letterman Action Adventure Animation Comedy Family Sci-Fi monsters vs. aliens Amy Poehler Rainn Wilson Stephen Colbert
69,Jon Favreau,Action Adventure Sci-Fi,iron man,7.9,Robert Downey Jr. Jeff Bridges Jon Favreau,Jon Favreau Action Adventure Sci-Fi iron man Robert Downey Jr. Jeff Bridges Jon Favreau
70,Martin Scorsese,Adventure Drama Family Mystery,hugo,7.5,Chloë Grace Moretz Christopher Lee Ray Winstone,Martin Scorsese Adventure Drama Family Mystery hugo Chloë Grace Moretz Christopher Lee Ray Winstone
71,Barry Sonnenfeld,Action Comedy Sci-Fi Western,wild wild west,4.8,Will Smith Salma Hayek Bai Ling,Barry Sonnenfeld Action Comedy Sci-Fi Western wild wild west Will Smith Salma Hayek Bai Ling
72,Rob Cohen,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor,5.2,Jet Li Brendan Fraser Russell Wong,Rob Cohen Action Adventure Fantasy Horror Thriller the mummy: tomb of the dragon emperor Jet Li Brendan Fraser Russell Wong
73,David Ayer,Action Adventure Comedy Sci-Fi,suicide squad,6.9,Will Smith Robin Atkin Downes Ike Barinholtz,David Ayer Action Adventure Comedy Sci-Fi suicide squad Will Smith Robin Atkin Downes Ike Barinholtz
74,Tom Shadyac,Comedy Family Fantasy,evan almighty,5.4,Jimmy Bennett Morgan Freeman Steve Carell,Tom Shadyac Comedy Family Fantasy evan almighty Jimmy Bennett Morgan Freeman Steve Carell
75,Doug Liman,Action Adventure Sci-Fi,edge of tomorrow,7.9,Tom Cruise Lara Pulver Noah Taylor,Doug Liman Action Adventure Sci-Fi edge of tomorrow Tom Cruise Lara Pulver Noah Taylor
76,Kevin Reynolds,Action Adventure Sci-Fi Thriller,waterworld,6.1,Jeanne Tripplehorn Rick Aviles Zakes Mokae,Kevin Reynolds Action Adventure Sci-Fi Thriller waterworld Jeanne Tripplehorn Rick Aviles Zakes Mokae
77,Stephen Sommers,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra,5.8,Joseph Gordon-Levitt Dennis Quaid Leo Howard,Stephen Sommers Action Adventure Sci-Fi Thriller g.i. joe: the rise of cobra Joseph Gordon-Levitt Dennis Quaid Leo Howard
78,Pete Docter,Adventure Animation Comedy Drama Family Fantasy,inside out,8.3,Amy Poehler Mindy Kaling Phyllis Smith,Pete Docter Adventure Animation Comedy Drama Family Fantasy inside out Amy Poehler Mindy Kaling Phyllis Smith
80,Jon Favreau,Action Adventure Sci-Fi,iron man 2,7.0,Robert Downey Jr. Scarlett Johansson Jon Favreau,Jon Favreau Action Adventure Sci-Fi iron man 2 Robert Downey Jr. Scarlett Johansson Jon Favreau
81,Rupert Sanders,Action Adventure Drama Fantasy,snow white and the huntsman,6.1,Chris Hemsworth Kristen Stewart Sam Claflin,Rupert Sanders Action Adventure Drama Fantasy snow white and the huntsman Chris Hemsworth Kristen Stewart Sam Claflin
82,Robert Stromberg,Action Adventure Family Fantasy Romance,maleficent,7.0,Angelina Jolie Pitt Sharlto Copley Sam Riley,Robert Stromberg Action Adventure Family Fantasy Romance maleficent Angelina Jolie Pitt Sharlto Copley Sam Riley
83,Matt Reeves,Action Adventure Drama Sci-Fi,dawn of the planet of the apes,7.6,Gary Oldman Judy Greer Kodi Smit-McPhee,Matt Reeves Action Adventure Drama Sci-Fi dawn of the planet of the apes Gary Oldman Judy Greer Kodi Smit-McPhee
85,Carl Rinsch,Action Adventure Drama Fantasy,47 ronin,6.3,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi,Carl Rinsch Action Adventure Drama Fantasy 47 ronin Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi
86,Anthony Russo,Action Adventure Sci-Fi,captain america: the winter soldier,7.8,Scarlett Johansson Chris Evans Hayley Atwell,Anthony Russo Action Adventure Sci-Fi captain america: the winter soldier Scarlett Johansson Chris Evans Hayley Atwell
87,Mike Mitchell,Adventure Animation Comedy Family Fantasy,shrek forever after,6.4,Jon Hamm Kathy Griffin Mary Kay Place,Mike Mitchell Adventure Animation Comedy Family Fantasy shrek forever after Jon Hamm Kathy Griffin Mary Kay Place
88,Brad Bird,Action Adventure Family Mystery Sci-Fi,tomorrowland,6.5,Judy Greer Chris Bauer Thomas Robinson,Brad Bird Action Adventure Family Mystery Sci-Fi tomorrowland Judy Greer Chris Bauer Thomas Robinson
89,Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6,7.9,Damon Wayans Jr. Daniel Henney Abraham Benrubi,Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi big hero 6 Damon Wayans Jr. Daniel Henney Abraham Benrubi
90,Rich Moore,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph,7.8,Jack McBrayer Sarah Silverman Joe Lo Truglio,Rich Moore Adventure Animation Comedy Family Sci-Fi wreck-it ralph Jack McBrayer Sarah Silverman Joe Lo Truglio
91,Robert Zemeckis,Adventure Animation Family Fantasy,the polar express,6.6,Tom Hanks Eddie Deezen Peter Scolari,Robert Zemeckis Adventure Animation Family Fantasy the polar express Tom Hanks Eddie Deezen Peter Scolari
92,Roland Emmerich,Action Adventure Sci-Fi,independence day: resurgence,5.5,Vivica A. Fox Sela Ward Judd Hirsch,Roland Emmerich Action Adventure Sci-Fi independence day: resurgence Vivica A. Fox Sela Ward Judd Hirsch
93,Dean DeBlois,Adventure Animation Family Fantasy,how to train your dragon,8.2,Gerard Butler America Ferrera Craig Ferguson,Dean DeBlois Adventure Animation Family Fantasy how to train your dragon Gerard Butler America Ferrera Craig Ferguson
94,Jonathan Mostow,Action Sci-Fi,terminator 3: rise of the machines,6.4,Nick Stahl M.C. Gainey Carolyn Hennesy,Jonathan Mostow Action Sci-Fi terminator 3: rise of the machines Nick Stahl M.C. Gainey Carolyn Hennesy
95,James Gunn,Action Adventure Sci-Fi,guardians of the galaxy,8.1,Bradley Cooper Vin Diesel Djimon Hounsou,James Gunn Action Adventure Sci-Fi guardians of the galaxy Bradley Cooper Vin Diesel Djimon Hounsou
96,Christopher Nolan,Adventure Drama Sci-Fi,interstellar,8.6,Matthew McConaughey Anne Hathaway Mackenzie Foy,Christopher Nolan Adventure Drama Sci-Fi interstellar Matthew McConaughey Anne Hathaway Mackenzie Foy
97,Christopher Nolan,Action Adventure Sci-Fi Thriller,inception,8.8,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt,Christopher Nolan Action Adventure Sci-Fi Thriller inception Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt
99,Peter Jackson,Adventure Fantasy,the hobbit: an unexpected journey,7.9,Aidan Turner Adam Brown James Nesbitt,Peter Jackson Adventure Fantasy the hobbit: an unexpected journey Aidan Turner Adam Brown James Nesbitt
101,David Fincher,Drama Fantasy Romance,the curious case of benjamin button,7.8,Brad Pitt Jason Flemyng Julia Ormond,David Fincher Drama Fantasy Romance the curious case of benjamin button Brad Pitt Jason Flemyng Julia Ormond
102,Matthew Vaughn,Action Adventure Sci-Fi,x-men: first class,7.8,Jennifer Lawrence Michael Fassbender Oliver Platt,Matthew Vaughn Action Adventure Sci-Fi x-men: first class Jennifer Lawrence Michael Fassbender Oliver Platt
103,Francis Lawrence,Adventure Sci-Fi,the hunger games: mockingjay - part 2,6.6,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson,Francis Lawrence Adventure Sci-Fi the hunger games: mockingjay - part 2 Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson
104,Jon Turteltaub,Action Adventure Family Fantasy,the sorcerer's apprentice,6.1,Nicolas Cage Omar Benson Miller Robert Capron,Jon Turteltaub Action Adventure Family Fantasy the sorcerer's apprentice Nicolas Cage Omar Benson Miller Robert Capron
105,Wolfgang Petersen,Action Adventure Drama Thriller,poseidon,5.6,Jimmy Bennett Mike Vogel Andre Braugher,Wolfgang Petersen Action Adventure Drama Thriller poseidon Jimmy Bennett Mike Vogel Andre Braugher
106,James Bobin,Adventure Family Fantasy,alice through the looking glass,6.4,Johnny Depp Alan Rickman Anne Hathaway,James Bobin Adventure Family Fantasy alice through the looking glass Johnny Depp Alan Rickman Anne Hathaway
107,Chris Miller,Adventure Animation Comedy Family Fantasy,shrek the third,6.1,Justin Timberlake Eric Idle Rupert Everett,Chris Miller Adventure Animation Comedy Family Fantasy shrek the third Justin Timberlake Eric Idle Rupert Everett
108,Duncan Jones,Action Adventure Fantasy,warcraft,7.3,Dominic Cooper Callum Rennie Ruth Negga,Duncan Jones Action Adventure Fantasy warcraft Dominic Cooper Callum Rennie Ruth Negga
109,Alan Taylor,Action Adventure Sci-Fi,terminator genisys,6.6,J.K. Simmons Emilia Clarke Matt Smith,Alan Taylor Action Adventure Sci-Fi terminator genisys J.K. Simmons Emilia Clarke Matt Smith
110,Michael Apted,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader,6.3,Bruce Spence Shane Rangi Laura Brent,Michael Apted Adventure Family Fantasy the chronicles of narnia: the voyage of the dawn treader Bruce Spence Shane Rangi Laura Brent
111,Michael Bay,Action Drama History Romance War,pearl harbor,6.1,Jennifer Garner Jaime King Mako,Michael Bay Action Drama History Romance War pearl harbor Jennifer Garner Jaime King Mako
112,Michael Bay,Action Adventure Sci-Fi,transformers,7.1,Zack Ward Michael O'Neill Kevin Dunn,Michael Bay Action Adventure Sci-Fi transformers Zack Ward Michael O'Neill Kevin Dunn
113,Oliver Stone,Action Adventure Biography Drama History Romance War,alexander,5.5,Anthony Hopkins Angelina Jolie Pitt Brian Blessed,Oliver Stone Action Adventure Biography Drama History Romance War alexander Anthony Hopkins Angelina Jolie Pitt Brian Blessed
114,David Yates,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix,7.5,Robert Pattinson Daniel Radcliffe Fiona Shaw,David Yates Adventure Family Fantasy Mystery harry potter and the order of the phoenix Robert Pattinson Daniel Radcliffe Fiona Shaw
115,Mike Newell,Adventure Family Fantasy Mystery,harry potter and the goblet of fire,7.6,Robert Pattinson Daniel Radcliffe Rupert Grint,Mike Newell Adventure Family Fantasy Mystery harry potter and the goblet of fire Robert Pattinson Daniel Radcliffe Rupert Grint
116,Peter Berg,Action Drama,hancock,6.4,Will Smith Charlize Theron Eddie Marsan,Peter Berg Action Drama hancock Will Smith Charlize Theron Eddie Marsan
117,Francis Lawrence,Drama Horror Sci-Fi,i am legend,7.2,Will Smith Alice Braga Willow Smith,Francis Lawrence Drama Horror Sci-Fi i am legend Will Smith Alice Braga Willow Smith
118,Tim Burton,Adventure Comedy Family Fantasy,charlie and the chocolate factory,6.7,Johnny Depp Christopher Lee David Kelly,Tim Burton Adventure Comedy Family Fantasy charlie and the chocolate factory Johnny Depp Christopher Lee David Kelly
119,Brad Bird,Animation Comedy Family Fantasy,ratatouille,8.0,Janeane Garofalo John Ratzenberger Brian Dennehy,Brad Bird Animation Comedy Family Fantasy ratatouille Janeane Garofalo John Ratzenberger Brian Dennehy
120,Christopher Nolan,Action Adventure,batman begins,8.3,Christian Bale Liam Neeson Morgan Freeman,Christopher Nolan Action Adventure batman begins Christian Bale Liam Neeson Morgan Freeman
121,Eric Darnell,Action Adventure Animation Comedy Family,madagascar: escape 2 africa,6.7,Bernie Mac Jada Pinkett Smith Cedric the Entertainer,Eric Darnell Action Adventure Animation Comedy Family madagascar: escape 2 africa Bernie Mac Jada Pinkett Smith Cedric the Entertainer
122,Shawn Levy,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian,5.9,Robin Williams Rami Malek Steve Coogan,Shawn Levy Adventure Comedy Family Fantasy night at the museum: battle of the smithsonian Robin Williams Rami Malek Steve Coogan
123,Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine,6.7,Hugh Jackman Ryan Reynolds Dominic Monaghan,Gavin Hood Action Adventure Fantasy Sci-Fi Thriller x-men origins: wolverine Hugh Jackman Ryan Reynolds Dominic Monaghan
124,Lana Wachowski,Action Sci-Fi,the matrix revolutions,6.7,Essie Davis Collin Chou Nona Gaye,Lana Wachowski Action Sci-Fi the matrix revolutions Essie Davis Collin Chou Nona Gaye
125,Chris Buck,Adventure Animation Comedy Family Fantasy Musical,frozen,7.6,Josh Gad Maurice LaMarche Livvy Stubenrauch,Chris Buck Adventure Animation Comedy Family Fantasy Musical frozen Josh Gad Maurice LaMarche Livvy Stubenrauch
126,Lana Wachowski,Action Sci-Fi,the matrix reloaded,7.2,Steve Bastoni Daniel Bernhardt Helmut Bakaitis,Lana Wachowski Action Sci-Fi the matrix reloaded Steve Bastoni Daniel Bernhardt Helmut Bakaitis
127,Alan Taylor,Action Adventure Fantasy,thor: the dark world,7.1,Chris Hemsworth Natalie Portman Anthony Hopkins,Alan Taylor Action Adventure Fantasy thor: the dark world Chris Hemsworth Natalie Portman Anthony Hopkins
128,George Miller,Action Adventure Sci-Fi Thriller,mad max: fury road,8.1,Tom Hardy Charlize Theron Zoë Kravitz,George Miller Action Adventure Sci-Fi Thriller mad max: fury road Tom Hardy Charlize Theron Zoë Kravitz
129,Ron Howard,Mystery Thriller,angels & demons,6.7,Tom Hanks Ayelet Zurer Armin Mueller-Stahl,Ron Howard Mystery Thriller angels & demons Tom Hanks Ayelet Zurer Armin Mueller-Stahl
130,Kenneth Branagh,Action Adventure Fantasy,thor,7.0,Chris Hemsworth Natalie Portman Anthony Hopkins,Kenneth Branagh Action Adventure Fantasy thor Chris Hemsworth Natalie Portman Anthony Hopkins
131,Byron Howard,Adventure Animation Comedy Drama Family,bolt,6.9,Chloë Grace Moretz Diedrich Bader James Lipton,Byron Howard Adventure Animation Comedy Drama Family bolt Chloë Grace Moretz Diedrich Bader James Lipton
132,Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force,5.1,Kelli Garner Piper Mackenzie Harris Niecy Nash,Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi g-force Kelli Garner Piper Mackenzie Harris Niecy Nash
133,Jonathan Liebesman,Action Adventure Fantasy,wrath of the titans,5.8,Liam Neeson Edgar Ramírez Lily James,Jonathan Liebesman Action Adventure Fantasy wrath of the titans Liam Neeson Edgar Ramírez Lily James
